date,d2m,t2m,ssr,str,tp,sp
1/1/1980,265.1410509,268.5077498,6374106.426,-4310285.279,3.314844839,70357.19127
1/2/1980,264.1824149,268.2461757,6645253.464,-4749113.608,3.015830985,70364.05394
1/3/1980,263.0292465,267.3499416,7142015.538,-5260008.938,2.305896424,70445.72819
1/4/1980,261.9476308,266.7942973,7787930.437,-5833255.451,0.952738019,70602.81099
1/5/1980,261.353931,266.4652932,8092397.337,-5904555.589,0.957533522,70554.0902
1/6/1980,261.1036821,266.2416241,8255631.409,-5989486.269,1.414960648,70516.86081
1/7/1980,258.0132418,265.4182119,8895572.371,-7329274.378,0.275011838,70721.07959
1/8/1980,259.0050538,266.3461899,9355812.254,-7104733.353,0.167886995,70711.15353
1/9/1980,261.5811004,267.5570683,9113666.489,-6177070.837,0.50430681,70491.01898
1/10/1980,262.3649537,267.4970435,8726473.739,-5704969.152,0.989347674,70297.58977
1/11/1980,262.2293087,267.5643327,7654434.218,-5482666.202,1.22703339,70389.96083
1/12/1980,263.3757325,268.4497195,8037391.073,-5483820.896,1.11117628,70505.57455
1/13/1980,263.5329837,268.303205,8043425.516,-5354002.624,1.453673347,70562.14031
1/14/1980,263.2826079,268.011023,8144799.37,-5567659.278,2.103757131,70588.313
1/15/1980,261.0623779,267.1494631,8398488.057,-6352734.491,0.961205558,70669.5174
1/16/1980,261.3521551,267.6656136,9303976.66,-6543002.223,0.515957032,70630.72118
1/17/1980,262.485746,268.140712,8862659.11,-6035082.502,0.71544935,70662.30514
1/18/1980,262.1552832,268.1338391,9324449.757,-6470829.287,0.425732884,70828.85608
1/19/1980,263.3789753,269.0526976,9182559.354,-5870287.814,1.27866467,70785.48415
1/20/1980,261.8300482,268.7074481,8987158.029,-6517173.585,0.572029847,70797.88183
1/21/1980,263.1689988,269.1632274,8652203.701,-5769753.745,1.281753786,70650.63061
1/22/1980,264.4027563,269.2732033,8352134.136,-5342641.837,2.527889786,70449.81726
1/23/1980,264.1149503,268.7741745,8003715.839,-5050994.132,5.998079865,70261.67335
1/24/1980,260.1283023,267.4350312,8437088.884,-6723312.257,2.015433163,70574.29718
1/25/1980,260.5331593,268.3792619,1.06E+07,-7213090.937,0.18202513,70624.961
1/26/1980,263.1479068,269.6974792,9487388.282,-5870133.027,1.012202551,70275.34242
1/27/1980,264.6543644,269.3440676,8016392.652,-5020985.479,3.976857389,70027.94871
1/28/1980,264.449948,269.337904,8442858.402,-5356777.43,5.443852751,69855.30237
1/29/1980,263.5605715,268.898815,8936633.24,-5864329.647,4.582022085,69821.10925
1/30/1980,257.7412834,267.0918746,1.06E+07,-8322960.749,0.356225989,70336.92263
1/31/1980,258.965199,268.1428949,1.11E+07,-7492076.978,0.2403381,70373.57245
2/1/1980,260.337311,269.101817,1.07E+07,-7151895.214,0.344646529,70439.01513
2/2/1980,263.6080765,269.9845243,1.01E+07,-5967298.411,1.142168186,70458.76816
2/3/1980,264.5476337,270.1274537,9153842.405,-5281928.245,3.050279398,70347.14279
2/4/1980,265.2758647,270.3203178,8423124.027,-5017092.68,4.064438541,70345.52154
2/5/1980,264.9066021,270.195024,8657484.984,-5432168.329,6.918924575,70091.91516
2/6/1980,262.2735216,269.0709434,9851254.649,-6311982.977,3.964297735,70101.76313
2/7/1980,261.1438813,268.6984077,9771823.259,-6302974.836,2.609629465,70244.66247
2/8/1980,261.2034492,268.9625679,1.03E+07,-6718908.915,1.198904401,70405.79715
2/9/1980,262.6675006,269.4565946,1.02E+07,-6344407.938,1.545960729,70340.27603
2/10/1980,262.7688248,268.6171677,9130307.809,-5641529.62,4.133418949,70250.77541
2/11/1980,261.2164829,269.081465,1.09E+07,-7118033.258,0.555921711,70671.3551
2/12/1980,260.7338038,270.2970941,1.15E+07,-7681467.943,0.072525036,70785.59916
2/13/1980,263.3896168,272.0074963,1.22E+07,-7147537.395,0.213680875,70743.42702
2/14/1980,265.4063623,272.5526265,1.10E+07,-6097211.522,0.615730095,70705.91187
2/15/1980,266.8873013,272.432159,1.05E+07,-5384399.889,2.275639076,70584.33522
2/16/1980,266.4557622,271.4542835,9653963.849,-5469930.48,4.618127243,70481.85361
2/17/1980,266.1081192,270.6126041,8854836.578,-5173388.001,5.385900598,70473.85673
