date,tp,t2m,ssr,str,sp
1/1/1980,3.88,265.6257733,6936212.063,-4871564.064,70332.76284
1/2/1980,3.29,265.2546967,6373885.101,-4333896.307,70334.95747
1/3/1980,3,264.2829111,6647720.011,-4750004.895,70374.83785
1/4/1980,2.26,262.4531177,7147685.262,-5266636.611,70564.5812
1/5/1980,0.93,262.0721559,7790716.231,-5841363.41,70591.98962
1/6/1980,0.98,261.5235682,8096839.196,-5903777.836,70507.94684
1/7/1980,1.4,261.13293,8258186.939,-5999413.173,70581.7858
1/8/1980,0.25,259.8747782,8899723.046,-7368000.028,70782.22481
1/9/1980,0.17,261.9563085,9362389.137,-7074502.104,70647.13625
1/10/1980,0.52,262.7394192,9117871.787,-6154886.04,70417.9716
1/11/1980,1.04,263.2239047,8728555.17,-5664067.272,70248.10089
1/12/1980,1.2,263.8571055,7650003.889,-5493667.411,70539.05786
1/13/1980,1.12,263.5092303,8042607.264,-5473124.569,70484.95751
1/14/1980,1.48,264.4706316,8043039.002,-5349599.05,70627.72428
1/15/1980,2.11,263.1597015,8144041.418,-5560118.305,70661.49032
1/16/1980,0.91,261.9740938,8396765.164,-6384535.027,70694.332
1/17/1980,0.52,263.6554493,9306162.439,-6524333.917,70649.71434
1/18/1980,0.72,263.0619467,8864664.77,-6043953.993,70774.74955
1/19/1980,0.42,262.7563277,9325713.027,-6457031.174,70863.71351
1/20/1980,1.31,264.7913481,9185217.845,-5860946.018,70779.42194
1/21/1980,0.54,263.6406841,8986586.982,-6523070.834,70791.15248
1/22/1980,1.33,264.8171896,8651986.518,-5732717.999,70614.6889
1/23/1980,2.69,265.3093116,8348499.009,-5316026.413,70304.45152
1/24/1980,6.02,264.6786459,7999301.741,-5057363.331,70365.57067
1/25/1980,1.82,261.2670032,8430252.715,-6790869.665,70718.75325
1/26/1980,0.2,264.4917272,10645490.81,-7169877.233,70443.99023
1/27/1980,1.06,264.9511694,9486772.856,-5827308.624,70210.45486
1/28/1980,4.15,265.2680141,8012515.743,-5007889.84,69923.71263
1/29/1980,5.44,265.1344913,8436662.016,-5378952.039,69824.33847
1/30/1980,4.46,263.9185167,8933050.998,-5900879.801,70129.25979
1/31/1980,0.31,261.3461252,10637817.26,-8340558.335,70416.51847
2/1/1980,0.24,263.7279644,11096046.65,-7442468.003,70428.94732
2/2/1980,0.35,264.3792864,10706218.66,-7142670.134,70487.89642
2/3/1980,1.19,266.054353,10075587.88,-5945589.652,70446.8351
2/4/1980,3.14,265.839767,9154615.319,-5247417.838,70350.24742
2/5/1980,4.12,267.1789981,8431981.793,-5022174.205,70248.23604
2/6/1980,7.01,265.6036027,8659156.226,-5459784.094,70098.31051
2/7/1980,3.83,264.7224986,9855619.58,-6321103.192,70220.73338
2/8/1980,2.57,264.6114854,9774828.889,-6312797.71,70397.05483
2/9/1980,1.19,264.5373746,10302874.5,-6704728.141,70427.20833
2/10/1980,1.6,265.4945448,10187888.6,-6301054.318,70288.45696
2/11/1980,4.12,264.1256123,9130606.322,-5704187.017,70608.97352
2/12/1980,0.5,264.4189904,10900989.61,-7101111.153,70723.61857
2/13/1980,0.07,264.8539784,11547704.89,-7694028.687,70862.5195
2/14/1980,0.24,267.4093228,12199357.72,-7070621.858,70746.27616
2/15/1980,0.62,267.3728542,11009308.38,-6099500.155,70693.44709
2/16/1980,2.38,268.4461261,10495230.69,-5365291.242,70520.31661
2/17/1980,4.7,266.6929718,9652768.249,-5476926.638,70501.91639
2/18/1980,5.43,266.618899,8856541.314,-5170600.938,70471.88862
2/19/1980,5.03,265.5220574,9135751.303,-5585065.073,70564.49423
2/20/1980,2.02,265.3896531,9960267.041,-6061942.236,70828.51809
2/21/1980,0.48,266.3875373,11365727.25,-6937553.779,70819.58323
2/22/1980,0.62,266.9429805,11681087.17,-6628463.127,70774.25701
2/23/1980,0.78,268.108474,12256992.35,-6938106.76,70571.63264
2/24/1980,4.92,268.3839757,10333987.83,-5652143.146,70234.86695
2/25/1980,8.22,268.0755034,9890100.881,-5675009.115,70066.43292
2/26/1980,4.48,265.9062429,10845686.37,-6907779.185,70569.07708
2/27/1980,0.08,267.0847588,13484412.41,-8379580.332,70499.75921
2/28/1980,1.54,268.8557265,12608670.71,-6619177.504,70265.08894
2/29/1980,3.4,269.2535522,10763887.54,-5548247.545,70201.8671
3/1/1980,7.07,269.5219188,10317827.13,-5097450.764,70363.73379
3/2/1980,12.45,268.6638277,8308829.654,-4228998.801,69991.04128
3/3/1980,11.25,266.6664487,8135599.541,-4956926.598,70109.57108
3/4/1980,2.64,265.996825,10377083.96,-6607173.847,70404.15808
3/5/1980,2.01,267.315207,11186451.67,-6115300.448,70260.73965
3/6/1980,1.63,269.535917,11763470.77,-5903745.635,70294.40952
3/7/1980,5.49,269.9909558,9886954.535,-4775757.176,70058.33923
3/8/1980,4.1,268.9626114,11025850.75,-6066089.23,70271.52325
3/9/1980,2.6,270.3928828,12263521.94,-6011135.88,70246.96947
3/10/1980,4.27,268.4427322,11344658.89,-5942366.128,70390.37035
3/11/1980,2.89,268.6366999,12424550.19,-6342611.913,70624.11111
3/12/1980,2.26,268.6157867,12695362.12,-6549324.204,70596.7485
3/13/1980,2.61,267.1737662,12974838.03,-7003505.297,70573.96449
3/14/1980,1.24,266.9151861,13948871.02,-7839966.147,70855.50946
3/15/1980,0.95,268.3366015,13888906.37,-7085545.97,70719.90891
3/16/1980,1.39,267.9306776,13574639.8,-7193854.273,70468.26834
3/17/1980,3.44,268.8273023,12597164.83,-5985084.662,70575.93033
3/18/1980,4.26,268.0523542,12068082.43,-6083015.288,70768.78475
3/19/1980,0.97,268.093203,13565446.1,-7334801.624,70703.84722
3/20/1980,4.71,269.6442069,12709759.2,-5892212.878,70699.74671
3/21/1980,1.67,269.1309301,12257667.7,-6919053.024,70997.13745
3/22/1980,0.48,271.6086866,15016510.14,-7293721.065,70846.95566
3/23/1980,6.84,271.2097213,13217208.57,-5711299.665,70581.93532
3/24/1980,5.48,271.4605577,12376620.82,-6076369.311,70803.1369
3/25/1980,5.28,272.1277559,13096890.26,-5818442.234,70714.80533
3/26/1980,7.24,272.4085798,12733096.5,-5768968.741,70781.24846
3/27/1980,7.22,273.2665422,12802308.73,-5524333.881,70692.52686
3/28/1980,7.75,270.4201286,12922747.87,-6592980.344,70899.31769
3/29/1980,1.73,272.4768084,14869124.81,-7379759.765,70792.03388
3/30/1980,3.68,273.3968154,13559379.45,-5995615.271,70559.36667
3/31/1980,9.84,271.7303132,12077902.59,-5241948.503,70637.84371
4/1/1980,2.62,271.868013,13109594.33,-6612561.691,70994.74572
4/2/1980,1.39,271.5665131,14013496.04,-6473517.085,70901.66504
4/3/1980,1.32,273.0842207,14561758.5,-6448054.079,70675.4155
4/4/1980,6.14,273.0578063,13159603.52,-5544518.209,70459.79178
4/5/1980,8.54,270.4077915,12842429.55,-6499352.631,70884.55512
4/6/1980,1.08,271.0083144,15093950.47,-7746138.252,71002.00981
4/7/1980,0.33,271.9167752,16367048.31,-8030103.335,70841.50744
4/8/1980,0.67,273.0385579,16114324.36,-7258808.458,70666.64068
4/9/1980,1.98,273.483329,15210063.52,-6475620.542,70577.59944
4/10/1980,7.69,274.1359905,14541760.64,-5846447.373,70330.26886
4/11/1980,9.19,272.6925133,13416657.02,-5764872.24,70345.89007
4/12/1980,7.23,274.1880564,13890106.73,-5939435.642,70446.64171
4/13/1980,6.41,273.973188,13666218.63,-5833565.295,70534.23647
4/14/1980,6.05,274.2470948,14374767.19,-6077895.633,70605.66766
4/15/1980,5.1,274.1827075,14433053.06,-6352133.287,70635.18186
4/16/1980,4.03,274.956971,15451064.64,-6648293.043,70724.89317
4/17/1980,5.59,275.4412337,15220749.18,-6157460.78,70717.69364
4/18/1980,7.71,274.1266189,14181962.81,-5838666.22,70649.59942
4/19/1980,5.45,273.2001982,13969531.1,-6273751.122,70868.72436
4/20/1980,1.72,274.0456399,15336744.64,-6523062.079,70913.11587
4/21/1980,2.92,275.6848791,15390528.43,-6398720.039,70879.96216
4/22/1980,2.91,277.4909344,16357213.24,-6140134.336,70731.08326
