date,d2m,t2m,ssr,str,tp,sp
2025-06-04,279.569544,283.349704,15174818.804218,-4432202.825496,7.728314,70382.381185
2025-06-05,279.003264,283.388279,16732308.243133,-5070272.011405,6.051465,70500.811104
2025-06-06,278.254590,283.881820,19049456.284623,-5905935.536997,3.496251,70513.718537
2025-06-07,277.678823,284.262309,20341124.513843,-6652804.185762,1.826034,70546.673714
2025-06-08,275.789606,285.116365,21635018.791606,-7652716.852322,1.049998,70577.315954
2025-06-09,274.702323,286.421425,24179972.748916,-8619805.872979,0.393047,70540.999234
2025-06-10,276.564580,287.215617,23104866.296424,-8000669.739048,2.086626,70523.257403
2025-06-11,278.674410,287.172843,22400019.451472,-7662421.746608,1.524726,70521.941080
2025-06-12,280.801580,287.282313,21783824.476391,-6855531.360381,3.690814,70503.611826
2025-06-13,282.240951,286.994959,20065010.787436,-5883983.678980,4.896470,70497.673476
2025-06-14,282.697174,286.914594,19159152.371567,-5325172.558258,6.638007,70358.045332
2025-06-15,283.052349,286.679082,17988780.246849,-4946947.545572,5.740725,70204.725106
2025-06-16,283.105018,287.481357,19721925.784921,-5501691.540846,5.500032,70124.174402
2025-06-17,283.199046,287.774962,20459952.520489,-5679961.924476,6.760806,70105.802688
2025-06-18,283.302401,287.655125,19827560.331127,-5411400.944813,10.856179,70212.662971
