date,lead_day,predicted_wl_m,lower_m,upper_m
2025-06-02,1,14.35,14.35,14.35
2025-06-03,2,14.35,14.35,14.35
2025-06-04,3,14.35,14.35,14.35
2025-06-05,4,14.35,14.35,14.35
2025-06-06,5,14.35,14.35,14.35
2025-06-07,6,14.35,14.35,14.35
2025-06-08,7,14.35,14.35,14.35
2025-06-09,8,14.35,14.35,14.35
2025-06-10,9,14.35,14.35,14.35
2025-06-11,10,14.35,14.35,14.35
2025-06-12,11,14.35,14.35,14.35
2025-06-13,12,14.35,14.35,14.35
2025-06-14,13,14.35,14.35,14.35
2025-06-15,14,14.35,14.35,14.35
2025-06-16,15,14.35,14.35,14.35
