date,d2m,t2m,ssr,str,tp,sp
2025-06-07,296.382518,299.762926,19126231.584621,-3539782.319385,3.275670,96267.258357
2025-06-08,296.412475,299.903159,19349754.397039,-3481965.404621,2.612280,96133.355588
2025-06-09,296.917531,300.548507,19997597.250766,-3378716.209971,2.297357,95966.572010
2025-06-10,297.306330,300.659524,19578685.358729,-3263065.746947,4.144391,95939.330525
2025-06-11,297.304342,300.701924,19520081.730561,-3178665.606307,10.781068,95991.464521
2025-06-12,297.040434,300.097043,17522891.480620,-2928537.978717,5.769766,96038.330536
2025-06-13,297.338577,299.787951,18286126.779648,-2716193.755644,10.284620,96070.713108
2025-06-14,297.191106,299.369278,16016438.874962,-2437168.834998,12.271299,95991.332083
2025-06-15,297.309605,299.389664,17000912.673427,-2577076.595015,11.432971,95813.755271
2025-06-16,297.322305,299.826644,17677412.875830,-2805278.049415,8.270811,95715.948694
2025-06-17,297.163072,300.148023,18782150.291516,-2841139.206358,10.355071,95688.773113
2025-06-18,297.213751,300.050982,18122913.539781,-2637891.402497,12.272930,95721.950865
2025-06-19,297.280426,299.416224,15234309.359032,-2297912.174415,13.562740,95890.012069
2025-06-20,297.128062,299.411413,15836128.274072,-2316155.753557,9.778568,96051.262340
2025-06-21,297.120654,299.231717,15647645.287701,-2133651.002592,14.993983,96080.274912
