date,d2m,t2m,ssr,str,tp,sp
2025-06-07,298.514299,301.577847,18888999.872301,-3502204.656180,0.761438,99676.169629
2025-06-08,298.262919,301.683562,19339592.004191,-3239546.190976,2.458066,99534.659393
2025-06-09,298.560980,301.761149,18958289.166500,-3052592.535141,1.251593,99372.749416
2025-06-10,298.742694,302.280514,19491037.450878,-2996216.531215,3.047231,99323.110818
2025-06-11,298.767400,301.215185,15879198.141299,-2159998.897746,15.063848,99385.661389
2025-06-12,298.308282,300.602607,15010595.596551,-2346735.888278,6.415470,99442.738269
2025-06-13,298.786256,300.753210,16680524.660163,-2542162.341655,11.198018,99471.868030
2025-06-14,298.576921,300.854007,15669817.127080,-2507167.181017,5.005271,99385.190031
2025-06-15,298.492487,300.579364,16750441.822776,-2559100.003621,6.687696,99171.453316
2025-06-16,298.008760,301.353266,17052186.230159,-2468693.907070,6.201013,99042.521528
2025-06-17,297.620146,300.768081,15385431.996644,-2182311.854768,2.730815,99025.929982
2025-06-18,297.816744,300.849200,15264978.866555,-1886545.808151,8.940278,99064.418678
2025-06-19,298.253473,300.777721,15038359.097742,-2024772.383736,4.636810,99241.609821
2025-06-20,298.258915,301.124392,17191225.342419,-2339345.917042,4.744899,99431.804897
2025-06-21,298.409111,300.961998,14003398.693040,-2068363.074878,3.985270,99482.728323
