date,lead_day,predicted_wl_m,lower_m,upper_m
2025-06-01,1,6.1857,5.7691,6.6023
2025-06-02,2,6.8269,6.5934,7.0604
2025-06-03,3,7.1712,6.8771,7.4653
2025-06-04,4,7.5802,7.3125,7.8479
2025-06-05,5,7.782,7.6175,7.9465
2025-06-06,6,7.8874,7.7161,8.0586
2025-06-07,7,7.8454,7.6613,8.0296
2025-06-08,8,7.8828,7.6091,8.1565
2025-06-09,9,7.839,7.5573,8.1207
2025-06-10,10,7.937,7.6862,8.1877
2025-06-11,11,7.8475,7.638,8.057
2025-06-12,12,7.64,7.4293,7.8507
2025-06-13,13,7.5118,7.3125,7.711
2025-06-14,14,7.393,7.2257,7.5603
2025-06-15,15,7.4997,7.4385,7.5609
