date,d2m,t2m,ssr,str,tp,sp
1/1/1980,280.1432237,285.473435,8610218.096,-5026819.324,3.604615542,92435.13495
1/2/1980,279.6654225,284.7275675,9755665.435,-5992863.117,1.662075915,92605.93109
1/3/1980,278.010116,283.428927,1.02E+07,-6725131.56,0.350083682,92808.62707
1/4/1980,276.0727896,282.6774406,1.15E+07,-7593092.963,0.115195605,92974.06977
1/5/1980,275.2936655,282.4851268,1.19E+07,-7854551.623,0.113156745,92949.0212
1/6/1980,274.1816669,281.9654528,1.24E+07,-8344837.592,0.095009859,92995.03284
1/7/1980,273.7578839,282.5122536,1.26E+07,-8291682.326,0.005485814,93046.10587
1/8/1980,275.1162467,283.6047901,1.24E+07,-7855643.73,0.061041604,92939.74582
1/9/1980,275.8824044,283.9874518,1.23E+07,-7774605.265,0.089500679,92792.80329
1/10/1980,275.4556805,284.2323281,1.25E+07,-7983227.869,0.155811057,92617.3857
1/11/1980,275.4206393,284.4960338,1.22E+07,-7456177.985,0.191622267,92622.30227
1/12/1980,276.4954969,284.4775397,1.10E+07,-6876000.32,0.724635286,92819.45619
1/13/1980,275.3569873,284.2131429,1.26E+07,-7976066.417,0.115674902,92902.51577
1/14/1980,274.3141773,283.9672629,1.29E+07,-8321264.016,0.110854273,92928.68219
1/15/1980,275.1151813,284.784714,1.26E+07,-7718660.918,0.06136211,92885.5967
1/16/1980,277.3729497,285.9603486,1.17E+07,-6765046.743,0.267771679,92839.88273
1/17/1980,278.4493396,286.3769094,1.22E+07,-7178088.046,0.18351103,92870.27043
1/18/1980,279.1093976,286.9985312,1.18E+07,-6696897.373,0.270089849,92990.64299
1/19/1980,279.7435901,287.3488745,1.23E+07,-7260644.407,0.271994111,93072.89493
1/20/1980,278.0373448,287.3295028,1.22E+07,-7287530.865,0.112496565,92941.68922
1/21/1980,278.0108909,286.8926477,1.23E+07,-7421484.254,0.142201211,92872.46444
1/22/1980,277.0204378,286.1697626,1.27E+07,-7844997.463,0.188888145,92737.16304
1/23/1980,273.8888943,284.8999268,1.36E+07,-8890194.503,0.168956144,92601.7513
1/24/1980,273.7868605,285.2464168,1.35E+07,-8612215.08,0.034901012,92687.47439
1/25/1980,276.1439825,286.3486009,1.33E+07,-7996597.65,0.312659478,92753.1481
1/26/1980,277.5527684,287.1455045,1.34E+07,-7833556.816,0.403844948,92444.96413
1/27/1980,278.7491579,287.4467239,1.28E+07,-7323705.296,1.08944664,92255.3343
1/28/1980,276.7907528,286.7903385,1.29E+07,-7970286.172,0.392526892,92189.42158
1/29/1980,272.7318155,285.0896663,1.41E+07,-9199082.877,0.142261631,92292.99246
1/30/1980,271.0580386,284.3492311,1.46E+07,-9473313.664,0.020866497,92454.80969
1/31/1980,272.4875672,284.8946408,1.45E+07,-9144238.839,0.058830684,92597.662
2/1/1980,274.11731,286.2175146,1.44E+07,-8454486.728,0.077141056,92523.18572
2/2/1980,278.3721604,286.1835886,1.08E+07,-5580541.565,3.757952176,92523.24258
2/3/1980,280.2039166,286.7141357,1.16E+07,-6213412.072,1.799557606,92536.69104
2/4/1980,278.4672858,286.1699568,1.17E+07,-6585363.034,3.325290141,92583.82621
2/5/1980,273.6961591,284.7526259,1.38E+07,-8619497.166,0.274405339,92652.08598
2/6/1980,270.1853099,283.1615664,1.49E+07,-9452438.66,0.182252647,92705.09759
2/7/1980,271.0347839,283.3691726,1.50E+07,-9181427.11,0.139715459,92743.7731
2/8/1980,272.540533,284.5752881,1.48E+07,-8695637.406,0.157241845,92789.95303
2/9/1980,273.9321287,285.7860407,1.48E+07,-8601681.605,0.215964796,92734.18209
2/10/1980,272.9801686,285.7600058,1.49E+07,-8959677.869,0.33740676,92692.88217
2/11/1980,272.8857633,286.0460095,1.51E+07,-8905406.146,0.046653557,92925.21394
2/12/1980,274.348386,287.0492406,1.52E+07,-8611926.166,0.006813224,92910.77521
2/13/1980,276.5234167,288.196116,1.50E+07,-8217694.762,0.032977464,92767.09662
2/14/1980,278.208631,289.4024809,1.39E+07,-7263627.571,0.877034496,92617.70957
2/15/1980,279.8247785,288.664974,1.22E+07,-6441135.152,2.219900504,92578.33156
2/16/1980,279.6375664,288.4206083,1.40E+07,-7522704.616,0.391420179,92570.18465
2/17/1980,279.154649,287.9752968,1.42E+07,-7711543.049,0.914528191,92618.82488
2/18/1980,277.7286016,288.1697344,1.51E+07,-8314961.47,0.362303308,92691.98113
2/19/1980,277.0642162,289.0480516,1.55E+07,-8471126.829,0.173801017,92754.06489
2/20/1980,278.0662084,290.2598216,1.51E+07,-7989434.427,0.260770646,92849.36365
2/21/1980,278.8275399,291.264978,1.55E+07,-8159904.962,0.111806124,92824.60844
2/22/1980,279.5401994,291.7437552,1.55E+07,-7993223.014,0.173301997,92657.91753
2/23/1980,280.0079944,291.6552062,1.58E+07,-8316204.203,0.271925707,92420.47013
2/24/1980,276.5435859,291.099546,1.64E+07,-9333805.43,0.194166578,92342.30433
2/25/1980,272.3734115,290.4790786,1.70E+07,-1.01E+07,0.071792916,92366.36473
2/26/1980,274.5169384,291.0126564,1.70E+07,-9448985.796,0.061398694,92486.90984
2/27/1980,277.7868073,292.0415969,1.63E+07,-8536051.965,0.6826942,92160.58426
2/28/1980,278.6449894,291.9438291,1.51E+07,-8035770.149,2.241493103,91940.11361
2/29/1980,279.8922438,290.8194419,1.41E+07,-7357391.134,2.637889448,92080.52183
3/1/1980,279.2803715,288.9671779,1.48E+07,-7853888.775,2.141648824,92294.55823
3/2/1980,275.0549286,289.5191119,1.58E+07,-8452258.256,0.262662585,92169.25218
3/3/1980,277.4571639,290.4060212,1.56E+07,-7794343.474,0.287657599,92273.43041
3/4/1980,280.5364878,290.9320365,1.60E+07,-7560308.187,0.398606681,92353.4462
3/5/1980,282.3350239,291.3485577,1.43E+07,-6569105.428,5.138728587,92167.56414
3/6/1980,280.1589593,290.5466386,1.51E+07,-7675015.878,3.228344792,92193.46038
3/7/1980,274.5815335,289.043601,1.79E+07,-9687390.253,0.133945757,92214.58862
3/8/1980,274.9378014,288.9990575,1.54E+07,-8170350.434,1.850953336,92191.24259
3/9/1980,274.4789784,288.2774293,1.62E+07,-8780062.685,0.700357758,92399.70909
3/10/1980,273.5794098,288.891587,1.74E+07,-9321958.171,0.41741253,92525.79082
3/11/1980,274.1095876,290.053012,1.74E+07,-9249559.273,0.684256739,92657.34022
3/12/1980,273.2514309,290.1637683,1.80E+07,-9896831.361,0.128580384,92753.80291
3/13/1980,272.5454073,289.9735969,1.85E+07,-1.01E+07,0.008808564,92807.38162
3/14/1980,274.2523363,290.8667078,1.83E+07,-9763058.667,0.097892961,92795.67602
3/15/1980,275.1941613,292.167186,1.81E+07,-9373670.089,0.243512353,92572.97757
3/16/1980,276.4835998,292.787251,1.75E+07,-8943270.128,0.622552693,92373.28461
3/17/1980,276.6278152,293.2395775,1.80E+07,-9390054.049,0.197597025,92513.782
3/18/1980,277.202208,293.9988658,1.68E+07,-8548320.366,0.512665903,92516.41853
3/19/1980,277.7910307,294.0290307,1.83E+07,-9481023.653,0.181143856,92471.57314
3/20/1980,277.4986091,294.5030286,1.85E+07,-9481726.205,0.030701936,92587.34528
3/21/1980,279.0946804,295.3451561,1.84E+07,-9112088.56,0.558956156,92645.85096
3/22/1980,279.1367705,295.7408357,1.81E+07,-9125890.588,0.386050546,92417.56972
3/23/1980,279.5467701,295.7637939,1.85E+07,-9168062.572,0.2120294,92300.10859
