date,d2m,t2m,ssr,str,tp,sp
2025-06-08,288.465943,302.285394,19822238.562464,-6539838.747651,0.143962,91812.998442
2025-06-09,288.931863,302.849952,19940350.728117,-6530720.726456,0.213778,91663.356214
2025-06-10,289.814168,303.102275,20009809.217481,-6408918.045694,0.555375,91603.634467
2025-06-11,291.029972,302.953469,19311638.071705,-5942342.985165,0.990076,91660.716915
2025-06-12,292.136611,302.583584,18226905.868851,-5442175.318276,1.555854,91667.400373
2025-06-13,293.207645,302.260902,17843010.190561,-5035087.994501,1.810745,91670.841060
2025-06-14,293.634934,302.209588,17863973.259294,-4881612.742766,3.520020,91529.395675
2025-06-15,294.023984,301.156239,17324462.643009,-4523114.157052,8.602386,91348.358828
2025-06-16,294.448545,300.153669,15552248.305448,-3896924.318891,9.354805,91329.680044
2025-06-17,294.789331,299.764354,15391247.648817,-3655960.107207,8.744757,91420.880996
2025-06-18,294.781553,299.693005,15511305.814054,-3634371.374422,6.982452,91408.448574
2025-06-19,295.026487,299.824796,15569832.609884,-3445792.111885,8.486402,91333.195210
2025-06-20,295.110415,299.767001,15164522.836477,-3163818.906976,10.647525,91308.312480
2025-06-21,295.078771,299.654392,14782159.588798,-3041578.597555,10.285762,91434.906468
2025-06-22,294.930308,299.088927,12109843.797753,-2770699.033687,10.040546,91659.836660
