date,lead_day,predicted_wl_m,lower_m,upper_m
2025-06-01,1,4.3221,4.1584,4.4858
2025-06-02,2,4.2647,4.0789,4.4506
2025-06-03,3,4.2433,4.0798,4.4067
2025-06-04,4,4.2126,4.0938,4.3314
2025-06-05,5,4.2173,4.1349,4.2997
2025-06-06,6,4.2606,4.202,4.3192
2025-06-07,7,4.3414,4.302,4.3809
2025-06-08,8,4.4407,4.4195,4.4619
2025-06-09,9,4.552,4.5406,4.5634
2025-06-10,10,4.7675,4.7485,4.7866
2025-06-11,11,4.9529,4.9256,4.9803
2025-06-12,12,5.1252,5.082,5.1684
2025-06-13,13,5.2845,5.2371,5.3319
2025-06-14,14,5.4267,5.3819,5.4715
2025-06-15,15,5.553,5.5164,5.5896
