date,d2m,t2m,ssr,str,tp,sp
1/1/1980,286.2001602,292.1189526,1.30E+07,-6969031.501,5.64E-04,100667.5038
1/2/1980,285.3927229,292.1772851,1.36E+07,-6609762.241,0.001692053,100698.5166
1/3/1980,287.3118446,293.0781298,1.19E+07,-5560016.749,8.76E-04,100741.397
1/4/1980,286.3255532,292.8344646,1.26E+07,-6647894.401,0.003003128,100870.1202
1/5/1980,284.0965298,291.4063651,1.37E+07,-7633548.932,0.001695976,100870.9718
1/6/1980,283.1891172,291.2443163,1.40E+07,-7220759.673,8.70E-04,100905.7237
1/7/1980,282.172099,290.0675136,1.50E+07,-8877105.607,0.001294302,100972.0945
1/8/1980,283.9417667,290.5171205,1.50E+07,-8374615.627,8.64E-04,100837.9106
1/9/1980,284.2907152,290.8192005,1.49E+07,-8070571.748,0.001295367,100704.8662
1/10/1980,284.5657227,290.9205913,1.48E+07,-7628486.468,0.002151727,100599.6633
1/11/1980,284.3767122,290.736621,1.47E+07,-7895397.493,8.52E-04,100737.5655
1/12/1980,282.5051348,290.5487382,1.52E+07,-8532141.746,0.003434735,100863.3105
1/13/1980,283.4555148,291.8697209,1.48E+07,-7364513.962,0.001716613,100885.0372
1/14/1980,284.3663205,292.5542625,1.50E+07,-7868866.705,0.003856419,100945.5572
1/15/1980,283.8274949,292.3605127,1.51E+07,-8051689.718,4.35E-04,100984.8468
1/16/1980,282.5347771,291.8806636,1.54E+07,-8374610.054,0.001282998,100923.6177
1/17/1980,283.6695132,292.3778497,1.52E+07,-7628997.476,8.50E-04,100931.5856
1/18/1980,285.4639461,293.315317,1.50E+07,-7198597.581,4.50E-04,101034.8959
1/19/1980,285.8944468,293.5042439,1.52E+07,-7333915.222,0.0021509,101040.2767
1/20/1980,286.4429038,293.5909324,1.31E+07,-6699322.198,8.64E-04,100944.063
1/21/1980,284.9378725,292.8467159,1.55E+07,-7901313.454,8.55E-04,100859.3757
1/22/1980,284.36615,292.6909518,1.56E+07,-7748741.644,0,100704.1299
1/23/1980,285.4937601,293.5110645,1.31E+07,-5449710.562,0.005098202,100557.2454
1/24/1980,285.449419,293.7947887,1.46E+07,-7304019.932,8.58E-04,100681.5384
1/25/1980,283.8111467,293.0572666,1.60E+07,-8578875.915,0.001296282,100672.3606
1/26/1980,283.6685391,292.4949611,1.61E+07,-8389847.445,0.00256896,100494.2749
1/27/1980,284.8942386,293.0163219,1.59E+07,-7601919.546,8.64E-04,100320.2155
1/28/1980,290.9765455,294.4682781,1.38E+07,-5438538.047,0.470062418,100169.2329
1/29/1980,291.244797,294.1716481,1.15E+07,-4074374.539,2.3691652,100155.5881
1/30/1980,280.5565348,291.9855489,1.58E+07,-8541374.336,0.014612333,100444.8468
1/31/1980,279.9920543,291.0020456,1.69E+07,-8979377.918,0.001730727,100582.1211
2/1/1980,281.4976823,291.2171318,1.68E+07,-8513454.103,4.35E-04,100666.7733
2/2/1980,282.2106095,291.7246081,1.69E+07,-8694416.804,8.52E-04,100724.3898
