date,d2m,t2m,ssr,str,tp,sp
2025-06-09,299.005539,302.322713,19409172.601031,-3241347.855034,2.115195,99579.363289
2025-06-10,298.611316,301.256772,18982181.145906,-2939406.979744,5.259336,99558.546050
2025-06-11,298.759682,300.936060,15286900.324674,-2480947.014577,3.829332,99568.154390
2025-06-12,298.553728,300.702981,16217967.879439,-2604920.539433,5.868661,99645.139138
2025-06-13,298.708798,301.085114,17951824.182652,-2522416.548475,7.275778,99659.025677
2025-06-14,298.775786,300.831595,16098676.634625,-2141677.331604,6.638477,99564.635862
2025-06-15,298.714192,300.163525,12875068.989383,-1743722.446808,14.439306,99540.419791
2025-06-16,298.423305,300.046675,13432754.008305,-1756101.782060,11.011561,99454.576751
2025-06-17,298.354781,300.464149,15906362.400236,-2161648.431557,4.714904,99404.482516
2025-06-18,297.970387,300.105402,15571398.378589,-1725635.595577,24.254872,99427.139226
2025-06-19,297.812905,298.801704,8355220.536912,-1079755.445437,30.470880,99475.694786
2025-06-20,297.983375,299.798426,13449797.144090,-1489090.727522,18.403365,99367.340579
2025-06-21,298.201848,300.315962,13655400.063829,-1534663.437403,7.483833,99232.032928
2025-06-22,298.458545,300.288936,13184767.435008,-1842545.116439,6.016497,99216.532244
2025-06-23,298.009649,300.297094,15932710.180104,-1651666.823291,7.011211,99275.358623
