date,lead_day,predicted_wl_m,lower_m,upper_m
2025-06-01,1,7.5937,7.4248,7.7626
2025-06-02,2,8.0237,7.872,8.1754
2025-06-03,3,7.9682,7.8676,8.0688
2025-06-04,4,8.0576,7.9202,8.195
2025-06-05,5,7.9587,7.8781,8.0393
2025-06-06,6,7.8178,7.7796,7.856
2025-06-07,7,7.6425,7.6091,7.6758
2025-06-08,8,7.5384,7.3982,7.6786
2025-06-09,9,7.4864,7.2918,7.681
2025-06-10,10,7.6277,7.4277,7.8277
2025-06-11,11,7.5843,7.4127,7.7558
2025-06-12,12,7.4806,7.3011,7.6602
2025-06-13,13,7.4707,7.2784,7.663
2025-06-14,14,7.5211,7.3125,7.7297
2025-06-15,15,7.6069,7.4334,7.7804
